name	figi	ticker	class_code
Sistema PJSFC	BBG000G7B4C2	SSA@GS	SPBXM
Sanofi	BBG000BBD5N1	SNY	SPBXM
KALA BIO	BBG001J2MVT8	KALA	KALA
Consolidated Edison	TCSF91151041	US2091151041	A30
Twenty-First Century Fox	TCSF137L2043	US35137L2043	A30
NIO Inc	BBG00LPXZB46	NIO	nyse
Fulgent Genetics	BBG00DR7LTG2	FLGT	SPBXM
Genuine Parts	US3724601055	US3724601055	SPBXM_OTC
Barclays	BBG000C04D57	BARC	BARC
Wolters Kluwer N.V.	BBG000BCHRW7	WKL	WKL
Domino's Pizza Inc	TCSF754A2015	US25754A2015	A30
Bank of Hawaii	BBG000C8D8G9	BOH	SPBXM
First Financial Bankshares, Inc.	TCSF020R1095	US32020R1095	A30
Technip Energies N.V.	BBG00Z9D5GD9	TE	SPBXM
TCS Group	TCS2238U2033	US87238U2033	US87238U2033_RZI
Pontem Corp	BBG00YPZQGD2	PNTM	PNTM
Marathon Digital Holdings	US5657881067	US5657881067	SPBXM_OTC
KKR Acquisition Holdings I Corp	BBG00Z61SYW3	KAHC	KAHC
DexCom Inc	BBG000QTF8K1	DXCM	SPBXM
BOEING	TCS970231058	BA-RM	FQBR
Delek US Holdings Inc	TCSF665A1034	US24665A1034	A29
Vector Group	BBG000CXKKZ8	VGR	nyse
SPAC Trebia Acquisition Corp	BBG00V76KZV6	TREB	TREB
First American Financial Corporation	BBG000V78V75	FAF	SPBXM
Titan Machinery	BBG000RWSF05	TITN	TITN
Net Lease Office Properties REIT	TCSF110Y1082	US64110Y1082	A29
Nkarta	TCSF487U1088	US65487U1088	A30
State Street	TCSF74771031	US8574771031	A29
Corcept Therapeutics Inc	TCSF83521028	US2183521028	A29
Teck Resources	TCSF87422044	CA8787422044	A29
Яковлев	BBG000FWGSZ5	IRKT	TQBR
MSCI Inc	TCSF354G1004	US55354G1004	A30
Ovintiv Inc.	BBG00R2NHQ65	OVV	SPBXM
Valaris Limited	BBG010JW9K49	VAL	SPBXM
Asbury Automotive Group Inc	US0434361046	US0434361046	SPBXM_OTC
Novartis AG	TCSF987V1098	US66987V1098	A30
BJs Wholesale Club Holdings, Inc.	BBG00FQ8T4G3	BJ	SPBXM
iRobot Corp	BBG000HXJB21	IRBT	SPBXM
Titan International	TCSF830M1027	US88830M1027	A30
Labcorp Holdings	US5049221055	US5049221055	SPBXM_OTC
SPO ТГК-14	ISSUANCEISUU	ISSUANCEISUU	ISSUANCEISUU
Atlassian	US0494681010	US0494681010	SPBXM_OTC
ACADIA Pharmaceuticals Inc	TCSF42251084	US0042251084	A30
Crown Holdings Inc	TCSF83681060	US2283681060	A29
Ideaya Biosciences Inc	BBG00CTZ4D83	IDYA	IDYA
Fresh Tracks Therapeutics	TCS000BGN354	BBI_old	BBI_old
Stifel Financial	TCSF06301021	US8606301021	A30
ALLETE, Inc.	BBG000CYW7N5	ALE	SPBXM
Coherent Inc	BBG000BG1DH3	COHRold	SPBXM
Adidas	BBGADIDAS001	ADS	ADS
Adverum Biotechnologies Inc	BBG006D9MR17	US00773U1088	US00773U1088_old
iRobot Corp	TCSF27261005	US4627261005	A29
Bath & Body Works	TCSF08301041	US0708301041	A29
Watsco Inc	US9426222009	US9426222009	SPBXM_OTC
Royal Bank of Canada	TCSF00871021	CA7800871021	A29
Foot Locker	TCSF48491049	US3448491049	A30
Power Integrations Inc	TCSF92761034	US7392761034	A29
ФосАгро	TCS20A0JRKT8	RU000A0JRKT8	RU000A0JRKT8_T00
Werner Enterprises Inc	US9507551086	US9507551086	SPBXM_OTC
The Lovesac Company	BBG000QYVKN2	US54738L1098	LOVE
Amdocs	TCSF22569080	GB0022569080	A29
Ekso Bionics Holdings	BBG002Z0NKK4	EKSO	EKSO
Deutsche Post AG	DE0005552004	DE0005552004	SPBXM_OTC
pre-IPO Didi	ISSUANCEDIDI	ISSUANCEDIDI	ISSUANCEDIDI
Finnair Oyj	TCSF09003230	FI0009003230	A30
Macy's	TCSF616P1049	US55616P1049	A30
Gevo	US3743964062	US3743964062	SPBXM_OTC
Youdao Inc	TCSF741T1043	US98741T1043	A30
CBRE Group	US12504L1098	US12504L1098	SPBXM_OTC
Otis Worldwide	TCSF902V1070	US68902V1070	A29
Booz Allen Hamilton	TCSF95021062	US0995021062	A30
Phillips 66	TCSF85461040	US7185461040	A30
Sarepta Therapeutics Inc	US8036071004	US8036071004	SPBXM_OTC
SAP SE	TCSF07164600	DE0007164600	A30
Balchem Corp	TCSF76652004	US0576652004	A30
Xerox	TCSF421M1062	US98421M1062	A30
IBM	TCSF92001014	US4592001014	A29
Alibaba	TCS9709W1027	BABA	0BLP
BlackRock	US09247X1019	US09247X1019	SPBXM_OTC
HP	BBG000KHWT55	HPQ	SPBXM
SelectQuote	TCSF63073005	US8163073005	A29
Nutrien	BBG00JM9XLN6	NTR	SPBXM
Green Brick Partners	TCSF27091013	US3927091013	A30
VARTA AG	TCSF0A0TGJ55	DE000A0TGJ55	A29
Лента	TCS00A102S15	RU000A102S15	TILA21
American Outdoor Brands Inc	BBG00QV8FS02	AOUT	SPBXM
EQT Corporation	TCSF884L1098	US26884L1098	A30
Hello Group	TCSF34031049	US4234031049	A30
Sage Therapeutics Inc	BBG0025X16Y5	SAGE	SPBXM
BigCommerce Holdings	BBG00W1PSSJ0	BIGC	SPBXM
Совкомфлот	BBG100R04X57	FLOT	SMAL
CorEnergy Infrastructure REIT	TCSF870U5020	US21870U5020	A30
АДР Nano Dimension	TCSF008G2030	US63008G2030	A30
Alliant Energy	US0188021085	US0188021085	SPBXM_OTC
Synlogic Inc	TCS7166L2097	US87166L2097	SYBX
Royalty Pharma plc	TCSFBMVP7Y09	GB00BMVP7Y09	A30
Macy's	TCS5616P1049	US55616P1049	NDS
Turtle Beach Corp	BBG000BM6N47	HEAR	SPBXM
Essex Bio-Technology	BBG000JHS2L3	1061	SPBHKEX
BankUnited, Inc.	US06652K1034	US06652K1034	SPBXM_OTC
Caterpillar	BBG000BF0K17	CAT	SPBXM
Performance Food Group Co	TCSF377A1034	US71377A1034	A29
JELD-WEN Holding Inc	TCSF580P1030	US47580P1030	A30
Yum China Holdings	BBG00B8N0HG1	YUMC	SPBXM
Pfizer	TCS170811035	PFE-RM	FQBR
MasterBrand	TCSF638P1049	US57638P1049	A30
Synchronoss Technologies	TCSF157B4005	US87157B4005	A29
Genesco Inc	US3715321028	US3715321028	SPBXM_OTC
Eagle Pharmaceuticals Inc	BBG005Y3XWH9	EGRX	SPBXM
JFrog Ltd.	IL0011684185	IL0011684185	SPBXM_OTC
Cullinan Oncology	TCSF00311063	US2300311063	A30
ЦФА Корзина металлов Норникеля	ISSUANCEMTNK	ISSUANCEMTNK	ISSUANCEMTNK
Lockheed Martin	US5398301094	US5398301094	SPBXM_OTC
L3Harris Technologies Inc	TCSF24311095	US5024311095	A30
ВСМПО-АВИСМА	BBG004S68CV8	VSMO	TQBR
MicroStrategy Inc	US5949724083	US5949724083	SPBXM_OTC
Ball Corporation	TCSF84981064	US0584981064	A30
Kellanova	US4878361082	US4878361082	SPBXM_OTC
Omnicell Inc	TCSF213N1090	US68213N1090	A29
АДР Mizuho Financial Group Inc	BBG000Q85HQ2	MFG	MFG
NXP Semiconductors NV	TCSF09538784	NL0009538784	A30
Aterian, Inc	BBG00P4JBS95	US02156U1016	US02156U1016
ТКС Холдинг	TCS10A107UL4	TCSG	SPEQ
Arthur J. Gallagher & Co	TCSF35761097	US3635761097	A29
Совкомбанк	TCS30A0ZZAC4	SVCB	SPEQ
FLIR Systems	BBG000BHK836	FLIR	SPBXM
IPO КИФА	ISSUANCEQIFA	ISSUANCEQIFA	ISSUANCEQIFA
HOOKIPA Pharma	TCSF906K1007	US43906K1007	A30
Azenta	BBG000DX9JV7	AZTA	SPBXM
Vestis	US29430C1027	US29430C1027	SPBXM_OTC
Sohu.com	TCSF410S1087	US83410S1087	A30
National Retail Properties REIT	BBG000CLP0Y4	NNN	NNN
Black Diamond Therapeutics Inc	BBG00MS4Y0W9	BDTX	SPBXM
Workiva Inc	BBG007BVZ8H9	WK	SPBXM
Li Auto	TCSF202M1027	US50202M1027	A29
